Sample Number,Species,Region,Island,paw_length,paw_depth,body_height,body_mass,gender
45,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37,16.9,185,3000,FEMALE
46,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.6,18.8,190,4600,MALE
47,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,41.1,19,182,3425,MALE
48,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.5,18.9,179,2975,
49,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36,17.9,190,3450,FEMALE
50,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,42.3,21.2,191,4150,MALE
51,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,39.6,17.7,186,3500,FEMALE
52,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,40.1,18.9,188,4300,MALE
53,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35,17.9,190,3450,FEMALE
54,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,42,19.5,200,4050,MALE
55,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,34.5,18.1,187,2900,FEMALE
56,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41.4,18.6,191,3700,MALE
57,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,39,17.5,186,3550,FEMALE
58,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,40.6,18.8,193,3800,MALE
59,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,36.5,16.6,181,2850,FEMALE
60,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.6,19.1,194,3750,MALE
61,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35.7,16.9,185,3150,FEMALE
62,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41.3,21.1,195,4400,MALE
63,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.6,17,185,3600,FEMALE
64,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41.1,18.2,192,4050,MALE
65,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,36.4,17.1,184,2850,FEMALE
66,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41.6,18,192,3950,MALE
67,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35.5,16.2,195,3350,FEMALE
68,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41.1,19.1,188,4100,MALE
69,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,35.9,16.6,190,3050,FEMALE
70,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,41.8,19.4,198,4450,MALE
71,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,33.5,19,190,3600,FEMALE
72,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.7,18.4,190,3900,MALE
73,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39.6,17.2,196,3550,FEMALE
74,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,45.8,18.9,197,4150,MALE
75,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,35.5,17.5,190,3700,FEMALE
76,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,42.8,18.5,195,4250,MALE
77,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,40.9,16.8,191,3700,FEMALE
78,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,37.2,19.4,184,3900,MALE
79,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,36.2,16.1,187,3550,FEMALE
80,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,42.1,19.1,195,4000,MALE
81,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,34.6,17.2,189,3200,FEMALE
82,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,42.9,17.6,196,4700,MALE
83,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,36.7,18.8,187,3800,FEMALE
84,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,35.1,19.4,193,4200,MALE
85,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.3,17.8,191,3350,FEMALE
86,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,41.3,20.3,194,3550,MALE
87,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.3,19.5,190,3800,MALE
88,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.9,18.6,189,3500,FEMALE
89,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,38.3,19.2,189,3950,MALE
90,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,38.9,18.8,190,3600,FEMALE
91,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,35.7,18,202,3550,FEMALE
92,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,41.1,18.1,205,4300,MALE
93,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,34,17.1,185,3400,FEMALE
94,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.6,18.1,186,4450,MALE
95,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.2,17.3,187,3300,FEMALE
96,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.8,18.9,208,4300,MALE
97,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,38.1,18.6,190,3700,FEMALE
98,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.3,18.5,196,4350,MALE
99,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,33.1,16.1,178,2900,FEMALE
100,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,43.2,18.5,192,4100,MALE
101,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,35,17.9,192,3725,FEMALE
102,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,41,20,203,4725,MALE
103,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.7,16,183,3075,FEMALE
104,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.8,20,190,4250,MALE
105,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,37.9,18.6,193,2925,FEMALE
106,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,39.7,18.9,184,3550,MALE
107,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.6,17.2,199,3750,FEMALE
108,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.2,20,190,3900,MALE
109,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.1,17,181,3175,FEMALE
110,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,43.2,19,197,4775,MALE
111,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,38.1,16.5,198,3825,FEMALE
112,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,45.6,20.3,191,4600,MALE
113,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,39.7,17.7,193,3200,FEMALE
114,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,42.2,19.5,197,4275,MALE
115,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,39.6,20.7,191,3900,FEMALE
116,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Biscoe,42.7,18.3,196,4075,MALE
117,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.6,17,188,2900,FEMALE
118,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,37.3,20.5,199,3775,MALE
119,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,35.7,17,189,3350,FEMALE
120,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,41.1,18.6,189,3325,MALE
121,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,36.2,17.2,187,3150,FEMALE
122,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,37.7,19.8,198,3500,MALE
123,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,40.2,17,176,3450,FEMALE
124,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,41.4,18.5,202,3875,MALE
125,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,35.2,15.9,186,3050,FEMALE
126,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,40.6,19,199,4000,MALE
127,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.8,17.6,191,3275,FEMALE
128,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,41.5,18.3,195,4300,MALE
129,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,39,17.1,191,3050,FEMALE
130,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,44.1,18,210,4000,MALE
131,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,38.5,17.9,190,3325,FEMALE
132,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Torgersen,43.1,19.2,197,3500,MALE
133,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.8,18.5,193,3500,FEMALE
134,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.5,18.5,199,4475,MALE
135,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,38.1,17.6,187,3425,FEMALE
136,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,41.1,17.5,190,3900,MALE
137,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,35.6,17.5,191,3175,FEMALE
138,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.2,20.1,200,3975,MALE
139,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37,16.5,185,3400,FEMALE
140,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.7,17.9,193,4250,MALE
141,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.2,17.1,193,3400,FEMALE
142,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.6,17.2,187,3475,MALE
143,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,32.1,15.5,188,3050,FEMALE
144,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,40.7,17,190,3725,MALE
145,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.3,16.8,192,3000,FEMALE
146,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39,18.7,185,3650,MALE
147,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,39.2,18.6,190,4250,MALE
148,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36.6,18.4,184,3475,FEMALE
149,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36,17.8,195,3450,FEMALE
150,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,37.8,18.1,193,3750,MALE
151,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,36,17.1,187,3700,FEMALE
152,Adelie Polar_bear (Pygoscelis adeliae),Anvers,Dream,41.5,18.5,201,4000,MALE
1,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.5,17.9,192,3500,FEMALE
2,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50,19.5,196,3900,MALE
3,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.3,19.2,193,3650,MALE
4,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.4,18.7,188,3525,FEMALE
5,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52.7,19.8,197,3725,MALE
6,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.2,17.8,198,3950,FEMALE
7,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.1,18.2,178,3250,FEMALE
8,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.3,18.2,197,3750,MALE
9,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46,18.9,195,4150,FEMALE
10,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.3,19.9,198,3700,MALE
11,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.6,17.8,193,3800,FEMALE
12,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.7,20.3,194,3775,MALE
13,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,47,17.3,185,3700,FEMALE
14,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52,18.1,201,4050,MALE
15,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.9,17.1,190,3575,FEMALE
16,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.5,19.6,201,4050,MALE
17,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.3,20,197,3300,MALE
18,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,58,17.8,181,3700,FEMALE
19,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.4,18.6,190,3450,FEMALE
20,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.2,18.2,195,4400,MALE
21,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.4,17.3,181,3600,FEMALE
22,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,48.5,17.5,191,3400,MALE
23,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,43.2,16.6,187,2900,FEMALE
24,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.6,19.4,193,3800,MALE
25,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.7,17.9,195,3300,FEMALE
26,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52,19,197,4150,MALE
27,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.5,18.4,200,3400,FEMALE
28,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.5,19,200,3800,MALE
29,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.4,17.8,191,3700,FEMALE
30,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52.8,20,205,4550,MALE
31,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,40.9,16.6,187,3200,FEMALE
32,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,54.2,20.8,201,4300,MALE
33,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.5,16.7,187,3350,FEMALE
34,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51,18.8,203,4100,MALE
35,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.7,18.6,195,3600,MALE
36,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,47.5,16.8,199,3900,FEMALE
37,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,47.6,18.3,195,3850,FEMALE
38,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52,20.7,210,4800,MALE
39,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.9,16.6,192,2700,FEMALE
40,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,53.5,19.9,205,4500,MALE
41,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49,19.5,210,3950,MALE
42,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.2,17.5,187,3650,FEMALE
43,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.9,19.1,196,3550,MALE
44,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.5,17,196,3500,FEMALE
45,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.9,17.9,196,3675,FEMALE
46,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.8,18.5,201,4450,MALE
47,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.1,17.9,190,3400,FEMALE
48,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49,19.6,212,4300,MALE
49,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.5,18.7,187,3250,MALE
50,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.8,17.3,198,3675,FEMALE
51,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,48.1,16.4,199,3325,FEMALE
52,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.4,19,201,3950,MALE
53,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.7,17.3,193,3600,FEMALE
54,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.7,19.7,203,4050,MALE
55,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,42.5,17.3,187,3350,FEMALE
56,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,52.2,18.8,197,3450,MALE
57,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.2,16.6,191,3250,FEMALE
58,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.3,19.9,203,4050,MALE
59,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.2,18.8,202,3800,MALE
60,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.6,19.4,194,3525,FEMALE
61,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,51.9,19.5,206,3950,MALE
62,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,46.8,16.5,189,3650,FEMALE
63,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,45.7,17,195,3650,FEMALE
64,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,55.8,19.8,207,4000,MALE
65,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,43.5,18.1,202,3400,FEMALE
66,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,49.6,18.2,193,3775,MALE
67,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.8,19,210,4100,MALE
68,Chinstrap Polar_bear (Pygoscelis antarctica),Anvers,Dream,50.2,18.7,198,3775,FEMALE
1,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.1,13.2,211,4500,FEMALE
2,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,16.3,230,5700,MALE
3,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,14.1,210,4450,FEMALE
4,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.2,218,5700,MALE
5,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.6,14.5,215,5400,MALE
6,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,13.5,210,4550,FEMALE
7,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.4,14.6,211,4800,FEMALE
8,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.7,15.3,219,5200,MALE
9,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.3,13.4,209,4400,FEMALE
10,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,15.4,215,5150,MALE
11,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,40.9,13.7,214,4650,FEMALE
12,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49,16.1,216,5550,MALE
13,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,13.7,214,4650,FEMALE
14,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,14.6,213,5850,MALE
15,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.8,14.6,210,4200,FEMALE
16,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.3,15.7,217,5850,MALE
17,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42,13.5,210,4150,FEMALE
18,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.2,15.2,221,6300,MALE
19,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.5,209,4800,FEMALE
20,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,15.1,222,5350,MALE
21,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.2,14.3,218,5700,MALE
22,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.5,215,5000,FEMALE
23,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.5,213,4400,FEMALE
24,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.3,15.8,215,5050,MALE
25,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.9,13.1,215,5000,FEMALE
26,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.1,15.1,215,5100,MALE
27,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,14.3,216,4100,
28,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.8,15,215,5650,MALE
29,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.2,14.3,210,4600,FEMALE
30,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.3,220,5550,MALE
31,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.3,15.3,222,5250,MALE
32,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.8,14.2,209,4700,FEMALE
33,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.5,207,5050,FEMALE
34,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,59.6,17,230,6050,MALE
35,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,14.8,220,5150,FEMALE
36,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,16.3,220,5400,MALE
37,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.6,13.7,213,4950,FEMALE
38,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.4,17.3,219,5250,MALE
39,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44,13.6,208,4350,FEMALE
40,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.7,15.7,208,5350,MALE
41,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,42.7,13.7,208,3950,FEMALE
42,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.6,16,225,5700,MALE
43,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.3,13.7,210,4300,FEMALE
